material_absorber,material_etl,material_htl,absorber_band_gap_eV,etl_band_gap_eV,htl_band_gap_eV,cbo_eV,vbo_eV,absorber_etl_type,absorber_htl_type,gap_method,functional,gap_type,material_class,source_doi,source_paper
CsPb0.625Zn0.375IBr2,SnS2,PTAA,1.05,1.85,2.96,0.01,0.06,Type III,Type I,SCAPS_literature_table,literature_chi_Eg,device_simulation_parameter,bulk_thin_film_device,10.1038/s41598-024-81797-x,CsPbZnIBr2 SCAPS Tables 1-2
CsPb0.625Zn0.375IBr2,SnS2,GaAs,1.05,1.85,1.42,0.01,-0.17,Type III,Type III,SCAPS_literature_table,literature_chi_Eg,device_simulation_parameter,bulk_thin_film_device,10.1038/s41598-024-81797-x,CsPbZnIBr2 SCAPS Tables 1-2
CsPb0.625Zn0.375IBr2,SnS2,ZnTe,1.05,1.85,2.25,0.01,-0.66,Type III,Type III,SCAPS_literature_table,literature_chi_Eg,device_simulation_parameter,bulk_thin_film_device,10.1038/s41598-024-81797-x,CsPbZnIBr2 SCAPS Tables 1-2
CsPb0.625Zn0.375IBr2,SnS2,CNTS,1.05,1.85,1.74,0.01,-0.29,Type III,Type III,SCAPS_literature_table,literature_chi_Eg,device_simulation_parameter,bulk_thin_film_device,10.1038/s41598-024-81797-x,CsPbZnIBr2 SCAPS Tables 1-2
CsPb0.625Zn0.375IBr2,SnS2,MoO3,1.05,1.85,3.0,0.01,0.02,Type III,Type I,SCAPS_literature_table,literature_chi_Eg,device_simulation_parameter,bulk_thin_film_device,10.1038/s41598-024-81797-x,CsPbZnIBr2 SCAPS Tables 1-2
CsPb0.625Zn0.375IBr2,SnS2,MEH-PPV,1.05,1.85,2.1,0.01,0.42,Type III,Type I,SCAPS_literature_table,literature_chi_Eg,device_simulation_parameter,bulk_thin_film_device,10.1038/s41598-024-81797-x,CsPbZnIBr2 SCAPS Tables 1-2
CsPb0.625Zn0.375IBr2,SnS2,CuAlO2,1.05,1.85,3.46,0.01,-0.64,Type III,Type III,SCAPS_literature_table,literature_chi_Eg,device_simulation_parameter,bulk_thin_film_device,10.1038/s41598-024-81797-x,CsPbZnIBr2 SCAPS Tables 1-2
CsPb0.625Zn0.375IBr2,SnS2,MoS2,1.05,1.85,1.29,0.01,-0.17,Type III,Type III,SCAPS_literature_table,literature_chi_Eg,device_simulation_parameter,bulk_thin_film_device,10.1038/s41598-024-81797-x,CsPbZnIBr2 SCAPS Tables 1-2
CsPb0.625Zn0.375IBr2,SnS2,Cu2Te,1.05,1.85,1.18,0.01,-0.06,Type III,Type III,SCAPS_literature_table,literature_chi_Eg,device_simulation_parameter,bulk_thin_film_device,10.1038/s41598-024-81797-x,CsPbZnIBr2 SCAPS Tables 1-2
CsPb0.625Zn0.375IBr2,SnS2,Zn3P2,1.05,1.85,1.5,0.01,-0.38,Type III,Type III,SCAPS_literature_table,literature_chi_Eg,device_simulation_parameter,bulk_thin_film_device,10.1038/s41598-024-81797-x,CsPbZnIBr2 SCAPS Tables 1-2
CsPb0.625Zn0.375IBr2,ZnSe,PTAA,1.05,2.81,2.96,0.18,0.06,Type III,Type I,SCAPS_literature_table,literature_chi_Eg,device_simulation_parameter,bulk_thin_film_device,10.1038/s41598-024-81797-x,CsPbZnIBr2 SCAPS Tables 1-2
