DOI,Journal,Year,Material,Material_Class,Doping,Gas,DFT_Software,Functional,Adsorption_Energy_eV,Charge_Transfer_e,Adsorption_Distance_A,Bandgap_Before_eV,Bandgap_After_eV,Bandgap_Change_eV,WorkFunction_Before_eV,WorkFunction_After_eV,WorkFunction_Change_eV,Sensitivity,Selectivity,Response_Time,Recovery_Time,Detection_Limit
10.1186/1556-276X-8-425,Nanoscale Research Letters,2013,MoS2,TMD,NA,H2O,VASP,LSDA,-0.234,0.01,NA,1.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1186/1556-276X-8-425,Nanoscale Research Letters,2013,MoS2,TMD,NA,NH3,VASP,LSDA,-0.25,-0.069,2.46,1.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1186/1556-276X-8-425,Nanoscale Research Letters,2013,MoS2,TMD,NA,NO,VASP,LSDA,-0.211,0.022,NA,1.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1186/1556-276X-8-425,Nanoscale Research Letters,2013,MoS2,TMD,NA,NO2,VASP,LSDA,-0.276,0.1,NA,1.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1186/1556-276X-8-425,Nanoscale Research Letters,2013,MoS2,TMD,NA,CO,VASP,LSDA,-0.128,0.004,2.95,1.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.3762/bjnano.9.156,Beilstein Journal of Nanotechnology,2018,MoS2,TMD,NA,NO,NA,NA,-0.18,NA,2.839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.3762/bjnano.9.156,Beilstein Journal of Nanotechnology,2018,MoS2,TMD,NA,NO2,NA,NA,-0.233,NA,2.829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.3762/bjnano.9.156,Beilstein Journal of Nanotechnology,2018,WS2,TMD,NA,NO,NA,NA,-0.165,NA,2.735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.3762/bjnano.9.156,Beilstein Journal of Nanotechnology,2018,WS2,TMD,NA,NO2,NA,NA,-0.201,NA,2.931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1039/C7CP08622A,Physical Chemistry Chemical Physics,2018,Ti2CO2,MXene,NA,H2,VASP,PBE,-0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1039/C7CP08622A,Physical Chemistry Chemical Physics,2018,Ti2CO2,MXene,NA,NH3,VASP,PBE,-0.37,-0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1039/C7CP08622A,Physical Chemistry Chemical Physics,2018,Ti2CO2,MXene,NA,H2O,VASP,PBE,-0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1039/C7CP08622A,Physical Chemistry Chemical Physics,2018,Ti2CO2,MXene,NA,CO,VASP,PBE,-0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1039/C7CP08622A,Physical Chemistry Chemical Physics,2018,Ti2CO2,MXene,NA,CO2,VASP,PBE,-0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1039/C7CP08622A,Physical Chemistry Chemical Physics,2018,Ti2CO2,MXene,NA,N2,VASP,PBE,-0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1039/C7CP08622A,Physical Chemistry Chemical Physics,2018,Ti2CO2,MXene,NA,NO,VASP,PBE,-0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1039/C7CP08622A,Physical Chemistry Chemical Physics,2018,Ti2CO2,MXene,NA,NO2,VASP,PBE,-0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1039/C7CP08622A,Physical Chemistry Chemical Physics,2018,Ti2CO2,MXene,NA,H2S,VASP,PBE,-0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1039/C7CP08622A,Physical Chemistry Chemical Physics,2018,Ti2CO2,MXene,NA,SO2,VASP,PBE,-0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1039/C7CP08622A,Physical Chemistry Chemical Physics,2018,V2CO2,MXene,NA,H2,VASP,PBE,-0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1039/C7CP08622A,Physical Chemistry Chemical Physics,2018,V2CO2,MXene,NA,NH3,VASP,PBE,-0.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1039/C7CP08622A,Physical Chemistry Chemical Physics,2018,V2CO2,MXene,NA,H2O,VASP,PBE,-0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1039/C7CP08622A,Physical Chemistry Chemical Physics,2018,V2CO2,MXene,NA,CO,VASP,PBE,-0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1039/C7CP08622A,Physical Chemistry Chemical Physics,2018,V2CO2,MXene,NA,CO2,VASP,PBE,-0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1039/C7CP08622A,Physical Chemistry Chemical Physics,2018,V2CO2,MXene,NA,N2,VASP,PBE,-0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1039/C7CP08622A,Physical Chemistry Chemical Physics,2018,V2CO2,MXene,NA,NO,VASP,PBE,-0.73,-0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1039/C7CP08622A,Physical Chemistry Chemical Physics,2018,V2CO2,MXene,NA,NO2,VASP,PBE,-0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1039/C7CP08622A,Physical Chemistry Chemical Physics,2018,V2CO2,MXene,NA,H2S,VASP,PBE,-0.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1039/C7CP08622A,Physical Chemistry Chemical Physics,2018,V2CO2,MXene,NA,SO2,VASP,PBE,-0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1039/C7CP08622A,Physical Chemistry Chemical Physics,2018,Nb2CO2,MXene,NA,H2,VASP,PBE,-0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1039/C7CP08622A,Physical Chemistry Chemical Physics,2018,Nb2CO2,MXene,NA,NH3,VASP,PBE,-0.5,-0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1039/C7CP08622A,Physical Chemistry Chemical Physics,2018,Nb2CO2,MXene,NA,H2O,VASP,PBE,-0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1039/C7CP08622A,Physical Chemistry Chemical Physics,2018,Nb2CO2,MXene,NA,CO,VASP,PBE,-0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1039/C7CP08622A,Physical Chemistry Chemical Physics,2018,Nb2CO2,MXene,NA,CO2,VASP,PBE,-0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1039/C7CP08622A,Physical Chemistry Chemical Physics,2018,Nb2CO2,MXene,NA,N2,VASP,PBE,-0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1039/C7CP08622A,Physical Chemistry Chemical Physics,2018,Nb2CO2,MXene,NA,NO,VASP,PBE,-0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1039/C7CP08622A,Physical Chemistry Chemical Physics,2018,Nb2CO2,MXene,NA,NO2,VASP,PBE,-0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1039/C7CP08622A,Physical Chemistry Chemical Physics,2018,Nb2CO2,MXene,NA,H2S,VASP,PBE,-0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1039/C7CP08622A,Physical Chemistry Chemical Physics,2018,Nb2CO2,MXene,NA,SO2,VASP,PBE,-0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1039/C7CP08622A,Physical Chemistry Chemical Physics,2018,Mo2CO2,MXene,NA,NH3,VASP,PBE,-0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1039/C7CP08622A,Physical Chemistry Chemical Physics,2018,Mo2CO2,MXene,NA,NO,VASP,PBE,-0.8,-0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1039/C7CP08622A,Physical Chemistry Chemical Physics,2018,Mo2CO2,MXene,NA,H2S,VASP,PBE,-0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1039/C7CP08622A,Physical Chemistry Chemical Physics,2018,Mo2CO2,MXene,NA,SO2,VASP,PBE,-0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1039/C7CP08622A,Physical Chemistry Chemical Physics,2018,Mo2CO2,MXene,NA,NO2,VASP,PBE,-0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1039/C7CP08622A,Physical Chemistry Chemical Physics,2018,Mo2CO2,MXene,NA,H2O,VASP,PBE,-0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1039/C7CP08622A,Physical Chemistry Chemical Physics,2018,Mo2CO2,MXene,NA,CO2,VASP,PBE,-0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1039/C7CP08622A,Physical Chemistry Chemical Physics,2018,Mo2CO2,MXene,NA,CO,VASP,PBE,-0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1039/C7CP08622A,Physical Chemistry Chemical Physics,2018,Mo2CO2,MXene,NA,N2,VASP,PBE,-0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1039/D4CP04127E,Physical Chemistry Chemical Physics,2025,Ti3C2O2,MXene,NA,CO,NA,NA,-0.096,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA
