material_absorber,absorber_band_gap_eV,phase,heat_of_formation_eV_per_atom,source_doi,source_paper
K2TlBiCl6 (orthorhombic),2.0945,orthorhombic,-1.423564,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2TlGaCl6 (orthorhombic),2.7794,orthorhombic,-1.424418,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2TlInCl6 (orthorhombic),2.919,orthorhombic,-1.461932,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2TlSbCl6 (orthorhombic),2.1407,orthorhombic,-1.366031,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2AgAlCl6 (orthorhombic),2.2615,orthorhombic,-1.493382,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2AgAsCl6 (orthorhombic),1.3779,orthorhombic,-1.172009,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2AgBiCl6 (orthorhombic),1.6589,orthorhombic,-1.314065,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2AgGaCl6 (orthorhombic),1.0358,orthorhombic,-1.317637,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2AgInCl6 (orthorhombic),1.3193,orthorhombic,-1.35126,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2AgSbCl6 (orthorhombic),1.549,orthorhombic,-1.260702,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2AuAlCl6 (orthorhombic),2.7104,orthorhombic,-1.393443,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2AuAsCl6 (orthorhombic),2.1674,orthorhombic,-1.089338,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2AuBiCl6 (orthorhombic),2.253,orthorhombic,-1.235962,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2AuGaCl6 (orthorhombic),2.0708,orthorhombic,-1.234185,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2AuInCl6 (orthorhombic),1.7497,orthorhombic,-1.249715,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2AuSbCl6 (orthorhombic),2.1466,orthorhombic,-1.181227,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2CuAlCl6 (orthorhombic),1.4505,orthorhombic,-1.439781,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2CuAsCl6 (orthorhombic),0.5129,orthorhombic,-1.136416,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2CuBiCl6 (orthorhombic),1.3267,orthorhombic,-1.271772,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2CuGaCl6 (orthorhombic),0.7079,orthorhombic,-1.281493,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2CuInCl6 (orthorhombic),0.1536,orthorhombic,-1.305818,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2CuSbCl6 (orthorhombic),0.655,orthorhombic,-1.217151,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2InAlCl6 (orthorhombic),3.1603,orthorhombic,-1.573592,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2InAsCl6 (orthorhombic),1.2101,orthorhombic,-1.248332,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2InBiCl6 (orthorhombic),1.3492,orthorhombic,-1.396088,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2InGaCl6 (orthorhombic),1.8549,orthorhombic,-1.396806,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2InInCl6 (orthorhombic),2.0694,orthorhombic,-1.433161,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2InSbCl6 (orthorhombic),1.4543,orthorhombic,-1.340035,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2TlAlCl6 (orthorhombic),3.6754,orthorhombic,-1.61497,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2TlAsCl6 (orthorhombic),1.9166,orthorhombic,-1.282856,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2TlBiCl6 (orthorhombic),1.9577,orthorhombic,-1.436002,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2TlGaCl6 (orthorhombic),2.6567,orthorhombic,-1.434543,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2TlInCl6 (orthorhombic),2.8388,orthorhombic,-1.472527,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2TlSbCl6 (orthorhombic),1.9664,orthorhombic,-1.37865,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2AgAlI6 (orthorhombic),0.8116,orthorhombic,-0.896864,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2AgAsI6 (orthorhombic),0.2816,orthorhombic,-0.756875,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2AgBiI6 (orthorhombic),0.7825,orthorhombic,-0.876138,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2AgGaI6 (orthorhombic),0.5187,orthorhombic,-0.821309,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2AgInI6 (orthorhombic),0.4092,orthorhombic,-0.875527,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2AgSbI6 (orthorhombic),0.5516,orthorhombic,-0.830863,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2AuAlI6 (orthorhombic),1.7988,orthorhombic,-0.856429,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2AuBiI6 (orthorhombic),0.0997,orthorhombic,-0.807736,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2AuGaI6 (orthorhombic),0.711,orthorhombic,-0.788026,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2AuInI6 (orthorhombic),0.7908,orthorhombic,-0.831847,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2CuAlI6 (orthorhombic),1.1815,orthorhombic,-0.845586,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2CuBiI6 (orthorhombic),0.4616,orthorhombic,-0.816963,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2CuGaI6 (orthorhombic),0.5666,orthorhombic,-0.781224,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2CuInI6 (orthorhombic),0.6155,orthorhombic,-0.826814,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2CuSbI6 (orthorhombic),0.2081,orthorhombic,-0.771133,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2InAlI6 (orthorhombic),1.0898,orthorhombic,-0.971329,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2InAsI6 (orthorhombic),0.0081,orthorhombic,-0.830548,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2InBiI6 (orthorhombic),0.2795,orthorhombic,-0.946102,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2InGaI6 (orthorhombic),0.4448,orthorhombic,-0.918745,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2InInI6 (orthorhombic),0.3965,orthorhombic,-0.944352,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2InSbI6 (orthorhombic),0.304,orthorhombic,-0.900476,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2TlAlI6 (orthorhombic),1.4478,orthorhombic,-1.005308,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2TlAsI6 (orthorhombic),0.8489,orthorhombic,-0.851097,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2TlBiI6 (orthorhombic),0.8517,orthorhombic,-0.97846,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2TlGaI6 (orthorhombic),0.636,orthorhombic,-0.912208,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2TlInI6 (orthorhombic),1.0243,orthorhombic,-0.974553,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2TlSbI6 (orthorhombic),0.9189,orthorhombic,-0.929734,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2AgAlI6 (orthorhombic),1.0595,orthorhombic,-0.852607,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2AgAsI6 (orthorhombic),0.8718,orthorhombic,-0.705057,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2AgBiI6 (orthorhombic),1.0267,orthorhombic,-0.827302,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2AgGaI6 (orthorhombic),0.5749,orthorhombic,-0.771155,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2AgInI6 (orthorhombic),0.6171,orthorhombic,-0.827364,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2AgSbI6 (orthorhombic),0.9636,orthorhombic,-0.780066,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2AuAlI6 (orthorhombic),1.7916,orthorhombic,-0.801782,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2AuAsI6 (orthorhombic),1.5857,orthorhombic,-0.662768,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2AuBiI6 (orthorhombic),0.0997,orthorhombic,-0.807736,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2AuGaI6 (orthorhombic),0.707,orthorhombic,-0.73117,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2AuInI6 (orthorhombic),0.8704,orthorhombic,-0.774735,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2AuSbI6 (orthorhombic),1.6469,orthorhombic,-0.732138,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2CuAlI6 (orthorhombic),1.3283,orthorhombic,-0.7937,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2CuAsI6 (orthorhombic),0.4083,orthorhombic,-0.645236,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2CuBiI6 (orthorhombic),0.6416,orthorhombic,-0.76513,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2CuGaI6 (orthorhombic),0.4593,orthorhombic,-0.72649,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2CuInI6 (orthorhombic),0.5467,orthorhombic,-0.772741,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2CuSbI6 (orthorhombic),0.4952,orthorhombic,-0.718434,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2InAlI6 (orthorhombic),1.3827,orthorhombic,-0.918496,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2InAsI6 (orthorhombic),0.5268,orthorhombic,-0.766511,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2InBiI6 (orthorhombic),0.5802,orthorhombic,-0.888926,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2InGaI6 (orthorhombic),0.7663,orthorhombic,-0.864814,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2InInI6 (orthorhombic),0.6951,orthorhombic,-0.88896,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2InSbI6 (orthorhombic),0.7056,orthorhombic,-0.840849,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2TlAlI6 (orthorhombic),1.6961,orthorhombic,-0.955623,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2TlAsI6 (orthorhombic),1.173,orthorhombic,-0.796343,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2TlBiI6 (orthorhombic),1.088,orthorhombic,-0.924914,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2TlGaI6 (orthorhombic),0.8671,orthorhombic,-0.860636,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2TlInI6 (orthorhombic),1.2492,orthorhombic,-0.923076,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2TlSbI6 (orthorhombic),1.2075,orthorhombic,-0.875102,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2AgAlI6 (orthorhombic),0.8823,orthorhombic,-0.865801,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2AgAsI6 (orthorhombic),0.6606,orthorhombic,-0.72059,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2AgBiI6 (orthorhombic),0.9444,orthorhombic,-0.843084,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2AgGaI6 (orthorhombic),0.5923,orthorhombic,-0.787902,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2AgInI6 (orthorhombic),0.5097,orthorhombic,-0.842629,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2AgSbI6 (orthorhombic),0.8157,orthorhombic,-0.796277,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2AuAlI6 (orthorhombic),1.7762,orthorhombic,-0.821339,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2AuBiI6 (orthorhombic),1.6172,orthorhombic,-0.80392,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2AuGaI6 (orthorhombic),0.7292,orthorhombic,-0.75225,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2AuInI6 (orthorhombic),0.8177,orthorhombic,-0.795363,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2AuSbI6 (orthorhombic),1.6525,orthorhombic,-0.75511,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2CuAlI6 (orthorhombic),1.3409,orthorhombic,-0.811843,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2CuAsI6 (orthorhombic),0.3489,orthorhombic,-0.666386,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2CuBiI6 (orthorhombic),0.4945,orthorhombic,-0.777287,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2CuGaI6 (orthorhombic),0.4852,orthorhombic,-0.745259,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2CuInI6 (orthorhombic),0.5673,orthorhombic,-0.791732,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2CuSbI6 (orthorhombic),0.4434,orthorhombic,-0.7358,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2InAlI6 (orthorhombic),1.2484,orthorhombic,-0.935986,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2InAsI6 (orthorhombic),0.368,orthorhombic,-0.788106,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2InBiI6 (orthorhombic),0.4701,orthorhombic,-0.909009,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2InGaI6 (orthorhombic),0.6304,orthorhombic,-0.882771,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2InInI6 (orthorhombic),0.5564,orthorhombic,-0.908145,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2InSbI6 (orthorhombic),0.5575,orthorhombic,-0.861772,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2TlAlI6 (orthorhombic),1.5921,orthorhombic,-0.972069,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2TlAsI6 (orthorhombic),1.0584,orthorhombic,-0.814923,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2TlBiI6 (orthorhombic),1.0077,orthorhombic,-0.943624,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2TlGaI6 (orthorhombic),0.7727,orthorhombic,-0.877934,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2TlInI6 (orthorhombic),1.1472,orthorhombic,-0.940822,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2TlSbI6 (orthorhombic),1.0951,orthorhombic,-0.894207,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
