ml_a,ml_b,bilayer_eg_eV,delta_ev_eV,delta_ec_eV
1T-HfS2,1T-CdCl2,2.04,2.9,1.81
1T-HfSe2,1T-CdCl2,1.1,2.02,2.85
1T-HgBr2,1T-CdCl2,3.79,3.79,1.18
1T-CdCl2,1T-MgCl2,5.36,5.36,0.35
1T-OTl2,1T-CdCl2,1.51,1.51,3.46
1T-PbI2,1T-CdCl2,2.65,2.91,2.14
1T-PdTe2,1T-CdCl2,0.09,0.83,4.42
1T-PtO2,1T-CdCl2,3.5,3.95,0.82
1T-PtS2,1T-CdCl2,2.65,2.79,1.95
1T-PtSe2,1T-CdCl2,1.72,2.08,3.01
1T-PtTe2,1T-CdCl2,0.62,1.31,4.35
1T-SnS2,1T-CdCl2,2.48,2.75,1.41
1T-SnSe2,1T-CdCl2,1.44,1.81,2.25
1T-TiS2,1T-CdCl2,0.71,1.11,2.45
1T-ZnI2,1T-CdCl2,2.59,3.01,2.43
1T-ZrS2,1T-CdCl2,1.95,2.56,1.67
1T-ZrSe2,1T-CdCl2,0.94,1.68,2.72
2H-GeI2,1T-CdCl2,2.36,2.93,2.55
2H-MoS2,1T-CdCl2,2.22,2.22,2.43
2H-MoSe2,1T-CdCl2,1.95,1.95,3.06
2H-MoTe2,1T-CdCl2,1.5,1.5,3.62
2H-WS2,1T-CdCl2,2.2,2.2,2.78
2H-WSe2,1T-CdCl2,1.88,1.88,3.41
2H-WTe2,1T-CdCl2,1.3,1.3,3.95
1T-GeI2,1T-CdI2,2.64,3.05,0.22
1T-HfSe2,1T-CdI2,1.1,2.02,0.54
1T-CdI2,1T-MgBr2,2.99,3.36,1.6
1T-CdI2,1T-MgCl2,2.99,3.36,2.66
1T-CdI2,1T-MgI2,2.99,3.36,0.16
1T-OTl2,1T-CdI2,1.51,1.51,1.16
1T-PdTe2,1T-CdI2,0.09,0.83,2.11
1T-PtSe2,1T-CdI2,1.72,2.08,0.7
1T-PtTe2,1T-CdI2,0.62,1.31,2.04
1T-TiS2,1T-CdI2,0.71,1.11,0.14
1T-CdI2,1T-ZnBr2,2.99,3.36,1.26
1T-CdI2,1T-ZnCl2,2.99,3.36,2.24
1T-ZnI2,1T-CdI2,2.59,3.01,0.12
1T-ZrSe2,1T-CdI2,0.94,1.68,0.41
2H-GeI2,1T-CdI2,2.36,2.93,0.24
2H-MoS2,1T-CdI2,2.22,2.22,0.12
2H-MoSe2,1T-CdI2,1.95,1.95,0.75
